item_id,title,author_last,author_first,gr_id,cover_img_url
11195,beware of boys,blundell, tony ,22398051,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11196,armadillo tattletale,ketteman, helen ,77849,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11197,tell me again about the night i was born,curtis, jamie lee,279407,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11198,the secret shortcut,teague, mark ,281825,https://images.gr-assets.com/books/1316136565m/281825.jpg
11199,rikki tikki tavi,pinkney, jerry ,551876,https://images.gr-assets.com/books/1317064300m/551876.jpg
11200,normans ark,foreman, michael,20895543,https://images.gr-assets.com/books/1394287594m/20895543.jpg
11201,on this special night,freedman, claire ,966281,https://images.gr-assets.com/books/1344267492m/966281.jpg
11202,the magic of spider woman,duncan, lois,588242,https://images.gr-assets.com/books/1403179094m/588242.jpg
11203,the ugly pumpkin,horowitz, dave,967253,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11204,the letters are lost ,ernst, lisa campbell ,30038855,https://images.gr-assets.com/books/1464361740m/30038855.jpg
11205,awesome dawson,gall, chris ,23014001,https://images.gr-assets.com/books/1432914246m/23014001.jpg
11206,madeline and the bad hat,bemelmans, ludwig,475339,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11207,the three billy goats gruff,galdone, paul,30375425,https://images.gr-assets.com/books/1474564122m/30375425.jpg
11208,never spit on your shoes,cazet, denys,766860,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11209,optimus prime versus megatron,chesterfield, sadie ,7985791,https://images.gr-assets.com/books/1270786437m/7985791.jpg
11210,jabut the tortoise,mcdermott, gerald,2249575,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
